ensembl_gene_id	external_gene_name	mouse_PC1
ENSMUSG00000001020	S100a4	7.02738599619983
ENSMUSG00000001021	S100a3	1.91349781140542
ENSMUSG00000001023	S100a5	5.77314649543752
ENSMUSG00000001025	S100a6	8.10416785522701
ENSMUSG00000001029	Icam2	-1.9412925839769
ENSMUSG00000001034	Mapk7	-4.18856336040234
ENSMUSG00000001036	Epn2	-2.87415607608189
ENSMUSG00000001039	B9d1	4.90237258437467
ENSMUSG00000001052	Sec24b	-5.06515644795872
ENSMUSG00000001053	N4bp3	-6.3642060954015
ENSMUSG00000001054	Rmnd5b	-2.22340189693153
ENSMUSG00000001056	Nhp2	2.95939317318737
ENSMUSG00000001062	Vps9d1	-1.02979857203637
ENSMUSG00000001065	Zfp276	-2.11703094543263
ENSMUSG00000001082	Mfsd10	5.75479135181946
ENSMUSG00000001089	Luzp1	-4.4102814465044
ENSMUSG00000001098	Kctd10	-1.14885248567519
ENSMUSG00000001100	Poldip2	1.67379029694199
ENSMUSG00000001105	Ift20	1.7226547781392
ENSMUSG00000001119	Col6a1	7.67236867350493
ENSMUSG00000001120	Pcbp3	0.0931090600476069
ENSMUSG00000001123	Lgals9	8.94991331633816
ENSMUSG00000001127	Araf	3.45119344056901
ENSMUSG00000001128	Cfp	3.9800127990647
ENSMUSG00000001131	Timp1	3.7054406097782
ENSMUSG00000001134	Uxt	5.86726081410567
ENSMUSG00000001138	Cnnm3	-2.72581019147622
ENSMUSG00000001143	Lman2l	2.97870998608983
ENSMUSG00000001150	Mcm3ap	0.596291782691495
ENSMUSG00000001151	Pcnt	-1.22184266153628
ENSMUSG00000001155	Ftcd	-0.421234034400531
ENSMUSG00000001156	Mxd1	-2.84879774670983
ENSMUSG00000001157	Gmcl1	3.32804621468019
ENSMUSG00000001158	Snrnp27	1.94648908470691
ENSMUSG00000001166	Oas1c	0.762140942549663
ENSMUSG00000001173	Ocrl	3.79557357745498
ENSMUSG00000001175	Calm1	4.9145287227095
ENSMUSG00000001211	Agpat3	4.68825462359695
ENSMUSG00000001227	Sema6b	-0.892495408353084
ENSMUSG00000001228	Uhrf1	1.32655973757099
ENSMUSG00000001229	Dpp9	4.44166896782778
ENSMUSG00000001240	Ramp2	4.05061094579968
ENSMUSG00000001247	Lsr	-0.135360781841536
ENSMUSG00000001248	Gramd1a	-2.8996069097045
ENSMUSG00000001249	Hpn	-2.27885645827375
ENSMUSG00000001270	Ckb	4.3671145999906
ENSMUSG00000001280	Sp1	-3.32724333593304
ENSMUSG00000001281	Itgb7	5.05027142597401
ENSMUSG00000001285	Myg1	-0.320661225473925
ENSMUSG00000001288	Rarg	-0.126645890755879
ENSMUSG00000001289	Pfdn5	6.17382228709758
ENSMUSG00000001300	Efnb2	-8.02129665793764
ENSMUSG00000001305	Rrp15	-1.50785004843424
ENSMUSG00000001313	Rnd2	4.15338925224473
ENSMUSG00000001323	Srr	2.65536656548999
ENSMUSG00000001333	Sync	-1.86925029010234
ENSMUSG00000001334	Fndc5	-2.57871718279501
ENSMUSG00000001348	Acp5	4.86928253016706
ENSMUSG00000001349	Cnn1	5.5654224117321
ENSMUSG00000001366	Fbxo9	-0.981476645799515
ENSMUSG00000001376	Vps50	1.64150978129461
ENSMUSG00000001380	Hars	3.12704644562439
ENSMUSG00000001383	Zmat2	3.64867621787247
ENSMUSG00000001403	Ube2c	0.777924314259654
ENSMUSG00000001415	Smg5	1.29367615196234
ENSMUSG00000001416	Cct3	3.4107876578113
ENSMUSG00000001418	Glmp	6.81458815969485
ENSMUSG00000001419	Mef2d	-3.31265067475275
ENSMUSG00000001420	Tmem79	-2.39484489916447
ENSMUSG00000001424	Snd1	7.48458487082901
ENSMUSG00000001435	Col18a1	4.04301652416388
ENSMUSG00000001436	Slc19a1	-2.10487634102653
ENSMUSG00000001440	Kpnb1	2.04858268610558
ENSMUSG00000001441	Npepps	1.10784251014503
ENSMUSG00000001444	Tbx21	-2.3755908685024
ENSMUSG00000001445	Mrpl10	1.70686732927086
ENSMUSG00000001467	Cyp51	-0.599444916338782
ENSMUSG00000001472	Tcf25	2.43772337774349
ENSMUSG00000001473	Tubb6	-0.68281011043357
ENSMUSG00000001482	Def8	2.55348186299901
ENSMUSG00000001493	Meox1	-4.04693945603515
ENSMUSG00000001494	Sost	1.29107151413067
ENSMUSG00000001496	Nkx2-1	9.23650657835146
ENSMUSG00000001497	Pax9	-3.07426538197092
ENSMUSG00000001504	Irx2	-7.1614511263829
ENSMUSG00000001506	Col1a1	8.0836181582223
ENSMUSG00000001507	Itga3	2.21122402754306
ENSMUSG00000001510	Dlx3	-8.1031202928906
ENSMUSG00000001517	Foxm1	-0.107260120657552
ENSMUSG00000001518	Itfg2	-1.46995436133254
ENSMUSG00000001520	Nrip2	0.904182654723495
ENSMUSG00000001521	Tulp3	-0.925543532202383
ENSMUSG00000001524	Gtf2h4	1.96338332810065
ENSMUSG00000001525	Tubb5	2.02012203494157
ENSMUSG00000001542	Ell2	-4.17422330561947
ENSMUSG00000001552	Jup	3.44840288758877
ENSMUSG00000001555	Fkbp10	4.97225438075648
ENSMUSG00000001558	Klhl10	-7.48449740850152
ENSMUSG00000001569	Nom1	-3.45089663794985
ENSMUSG00000001576	Ergic1	5.12578562704579
ENSMUSG00000001583	Tnk1	-0.347160378174599
ENSMUSG00000001588	Acap1	4.97542743207778
ENSMUSG00000001604	Tcea3	3.20773913192167
ENSMUSG00000001622	Csn3	2.55564851012721
ENSMUSG00000001627	Ifrd1	-7.94231108328608
ENSMUSG00000001630	Stk38l	-5.09606671345172
ENSMUSG00000001632	Brpf1	-6.13993411540916
ENSMUSG00000001642	Akr1b3	6.88614693818598
ENSMUSG00000001655	Hoxc13	-2.85303251553958
ENSMUSG00000001656	Hoxc11	-8.56884220366384
ENSMUSG00000001657	Hoxc8	-0.469543293475724
ENSMUSG00000001661	Hoxc6	-2.0414790106622
ENSMUSG00000001663	Gstt1	7.47335161742101
ENSMUSG00000001665	Gstt3	3.51837221664461
ENSMUSG00000001666	Ddt	6.43449621202133
ENSMUSG00000001672	Marveld3	0.228375469085849
ENSMUSG00000001674	Ddx18	0.494778928985366
ENSMUSG00000001687	Ubl3	-1.71877555704704
ENSMUSG00000001700	Gramd3	-3.45223876894958
ENSMUSG00000001707	Eef1e1	-2.42108670604125
ENSMUSG00000001729	Akt1	4.22986128405852
ENSMUSG00000001739	Cldn15	1.40895011316025
ENSMUSG00000001741	Il16	-1.28671868805628
ENSMUSG00000001750	Tcirg1	0.202762130787657
ENSMUSG00000001751	Naglu	4.88341184188979
ENSMUSG00000001755	Coasy	0.572556713798973
ENSMUSG00000001761	Smo	2.4758902331449
ENSMUSG00000001763	Tspan33	0.572854488241729
ENSMUSG00000001767	Crnkl1	0.480171353310088
ENSMUSG00000001768	Rin2	-5.93925405325432
ENSMUSG00000001774	Chordc1	-0.278990157603905
ENSMUSG00000001783	Rtcb	2.67434585118631
ENSMUSG00000001785	Pwp1	-0.285757018282638
ENSMUSG00000001786	Fbxo7	-1.64742538450937
ENSMUSG00000001794	Capns1	7.83355130896099
ENSMUSG00000001802	Lrp3	0.563234811440364
ENSMUSG00000001815	Evx2	3.94734494417417
ENSMUSG00000001819	Hoxd13	-1.56089927115228
ENSMUSG00000001823	Hoxd12	1.8188945627412
ENSMUSG00000001827	Folr1	4.67575445516096
ENSMUSG00000001829	Clpb	6.65157627711663
ENSMUSG00000001833	Septin7	2.31186009419606
ENSMUSG00000001844	Zdhhc4	4.52212182709915
ENSMUSG00000001847	Rac1	2.44754485250382
ENSMUSG00000001855	Nup214	-0.0137685293578406
ENSMUSG00000001864	Aif1l	3.12989721160482
ENSMUSG00000001870	Ltbp1	2.10942646052124
ENSMUSG00000001891	Ugp2	4.28889602206334
ENSMUSG00000001901	Kcnh6	0.124497095662621
ENSMUSG00000001909	Trmt1	1.33252543108578
ENSMUSG00000001910	Nacc1	-0.169361915501145
ENSMUSG00000001911	Nfix	1.79128616766103
ENSMUSG00000001918	Slc1a5	1.21096670238799
ENSMUSG00000001924	Uba1	7.27906572056356
ENSMUSG00000001930	Vwf	3.26377398373817
ENSMUSG00000001942	Siae	4.95453696355153
ENSMUSG00000001943	Vsig2	5.16188645317013
ENSMUSG00000001946	Esam	-4.9861448343187
ENSMUSG00000001948	Spa17	5.67976644242396
ENSMUSG00000001962	Fam50a	1.82246351092009
ENSMUSG00000001964	Emd	3.24919468241955
ENSMUSG00000001983	Taco1	-3.47890872761445
ENSMUSG00000001986	Gria3	4.97972199832684
ENSMUSG00000001988	Npas1	-1.18238404796277
ENSMUSG00000001995	Sipa1l2	-3.9096699665872
ENSMUSG00000001998	Ap4e1	0.490076002745636
ENSMUSG00000001999	Blvra	3.18622955478539
ENSMUSG00000002006	Pdzd4	2.06126252355305
ENSMUSG00000002007	Srpk3	-1.49173892483528
ENSMUSG00000002010	Idh3g	5.95516404890308
ENSMUSG00000002012	Pnck	2.41210669600065
ENSMUSG00000002014	Ssr4	5.75514485787629
ENSMUSG00000002015	Bcap31	5.61470937788027
ENSMUSG00000002017	Fam98a	-1.41062477737044
ENSMUSG00000002020	Ltbp2	1.46004274064449
ENSMUSG00000002028	Kmt2a	-1.91594951567855
ENSMUSG00000002031	Ift46	3.36533777116835
ENSMUSG00000002032	Tmem25	5.00660089906237
ENSMUSG00000002043	Trappc6a	7.27989708960979
ENSMUSG00000002052	Supt6	1.84086649151991
ENSMUSG00000002055	Spag5	-0.670184525876386
ENSMUSG00000002058	Unc119	1.76044616125811
ENSMUSG00000002059	Rab34	1.68609357472604
ENSMUSG00000002064	Sdf2	0.89508667263165
ENSMUSG00000002068	Ccne1	-3.27151355839482
ENSMUSG00000002076	Hsf2bp	6.05576223519419
ENSMUSG00000002083	Bbc3	-6.85813178130276
ENSMUSG00000002100	Mybpc3	1.40556536019917
ENSMUSG00000002102	Psmc3	3.12315304412121
ENSMUSG00000002103	Acp2	1.72102658327349
ENSMUSG00000002104	Rapsn	1.17152759108276
ENSMUSG00000002105	Slc39a13	0.813703212510288
ENSMUSG00000002107	Celf2	0.693432549156989
ENSMUSG00000002108	Nr1h3	0.379634626528062
ENSMUSG00000002109	Ddb2	4.19554093949591
ENSMUSG00000002129	Sf3a1	-0.791713916263949
ENSMUSG00000002147	Stat6	1.96596965446399
ENSMUSG00000002190	Clgn	4.28721760786582
ENSMUSG00000002204	Napsa	5.28064923473835
ENSMUSG00000002205	Vrk3	0.907072842066783
ENSMUSG00000002210	Smg9	0.0290937304159765
ENSMUSG00000002221	Paxip1	-1.55829859440269
ENSMUSG00000002222	Rmnd5a	-0.537957796544542
ENSMUSG00000002227	Mov10	4.34578730698944
ENSMUSG00000002228	Ppm1j	3.46672810945592
ENSMUSG00000002233	Rhoc	2.96128766202902
ENSMUSG00000002249	Tead3	-2.67547020776597
ENSMUSG00000002250	Ppard	-2.65688428246578
ENSMUSG00000002257	Def6	-1.18451634067103
ENSMUSG00000002265	Peg3	2.31529387129447
ENSMUSG00000002266	Zim1	-1.62260944687761
ENSMUSG00000002274	Metrn	5.61681580669304
ENSMUSG00000002279	Lmf1	3.66925555563439
ENSMUSG00000002280	Ciao3	-0.490428017553779
ENSMUSG00000002289	Angptl4	-8.23052874768684
ENSMUSG00000002297	Dbf4	-3.84260822087855
ENSMUSG00000002307	Daxx	-4.61823366404007
ENSMUSG00000002308	Cd320	2.61907545669276
ENSMUSG00000002319	Ipo4	4.11368527858655
ENSMUSG00000002320	Tm9sf1	2.50954630806247
ENSMUSG00000002324	Rec8	-0.310202165789971
ENSMUSG00000002325	Irf9	-2.09880617230077
ENSMUSG00000002326	Gmpr2	1.3304674573412
ENSMUSG00000002329	Mdp1	1.16924340878564
ENSMUSG00000002332	Dhrs1	6.35705060462178
ENSMUSG00000002342	Tmem161a	2.7688035750812
ENSMUSG00000002343	Armc6	-1.57622678169887
ENSMUSG00000002345	Borcs8	4.49425747085357
ENSMUSG00000002346	Slc25a42	4.07105450398045
ENSMUSG00000002365	Snx9	0.626707189546829
ENSMUSG00000002372	Ranbp3	-2.57591563846535
ENSMUSG00000002379	Ndufa11	8.46539276186677
ENSMUSG00000002384	Bmp8b	4.8821041107335
ENSMUSG00000002393	Nr2f6	-0.466930672636992
ENSMUSG00000002395	Use1	4.79327128561618
ENSMUSG00000002396	Ocel1	2.06103621614111
ENSMUSG00000002409	Dyrk1b	-1.83861867284415
ENSMUSG00000002413	Braf	-1.99602468732628
ENSMUSG00000002416	Ndufb2	5.69369921760927
ENSMUSG00000002428	Hltf	0.030585263823122
ENSMUSG00000002455	Prpf6	1.22624032100275
ENSMUSG00000002458	Rgs19	-0.659883819842125
ENSMUSG00000002459	Rgs20	-2.28010744387545
ENSMUSG00000002475	Abhd3	3.04724605268813
ENSMUSG00000002477	Snrpd1	0.781378687537227
ENSMUSG00000002486	Tchp	-1.00414491159341
ENSMUSG00000002489	Tiam1	-0.215808103749227
ENSMUSG00000002496	Tsc2	5.7239808366263
ENSMUSG00000002500	Rpl3l	5.68528969727864
ENSMUSG00000002504	Slc9a3r2	4.13962616186226
ENSMUSG00000002524	Puf60	-1.44452445107209
ENSMUSG00000002546	Golga2	-0.946421415208951
ENSMUSG00000002550	Uck1	-0.884122949222451
ENSMUSG00000002565	Scin	1.05233660583007
ENSMUSG00000002578	Ikzf4	-2.15896454713114
ENSMUSG00000002580	Mien1	7.36400209271854
ENSMUSG00000002602	Axl	3.9535068478032
ENSMUSG00000002603	Tgfb1	-0.911684627819858
ENSMUSG00000002608	Ccdc97	-0.234667517165134
ENSMUSG00000002617	Zfp40	-4.84858690218671
ENSMUSG00000002625	Akap8l	1.59557062637615
ENSMUSG00000002635	Pdcd2l	-1.76811883645244
ENSMUSG00000002658	Gtf2f1	-0.478731244736791
ENSMUSG00000002660	Clpp	1.922973718309
ENSMUSG00000002661	Alkbh7	1.28724272065826
ENSMUSG00000002668	Dennd1c	-1.33653222322258
ENSMUSG00000002679	Med6	-2.83709453911863
ENSMUSG00000002688	Prkd1	0.454040821914688
ENSMUSG00000002718	Cse1l	1.08762738739276
ENSMUSG00000002728	Naa20	-3.41095044357664
ENSMUSG00000002731	Prkra	2.68126395432448
ENSMUSG00000002732	Fkbp7	4.17017096302486
ENSMUSG00000002733	Plekha3	-0.422530381582162
ENSMUSG00000002741	Ykt6	1.78342209959304
ENSMUSG00000002748	Baz1b	-2.31827195949654
ENSMUSG00000002763	Pex6	3.50350639073259
ENSMUSG00000002767	Mrpl2	2.03898991207305
ENSMUSG00000002768	Mea1	3.6745558364144
ENSMUSG00000002769	Gnmt	3.60605382784848
ENSMUSG00000002771	Grin2d	2.47416421686446
ENSMUSG00000002778	Kdelr1	4.4925868737459
ENSMUSG00000002781	Tmem143	4.22561455826387
ENSMUSG00000002797	Ggct	0.312806718897202
ENSMUSG00000002799	Jag2	-3.43176696183064
ENSMUSG00000002803	Btbd6	-3.05468257277487
ENSMUSG00000002804	Nudt14	3.18342946054522
ENSMUSG00000002808	Epdr1	4.37932929196227
ENSMUSG00000002812	Flii	5.87926249707753
ENSMUSG00000002814	Top3a	-6.10301098178042
ENSMUSG00000002820	Atg4d	-1.93149460121628
ENSMUSG00000002825	Qtrt1	-0.264752950023969
ENSMUSG00000002831	Plin4	2.51215695555363
ENSMUSG00000002833	Hdgfl2	1.31997728812578
ENSMUSG00000002835	Chaf1a	-3.13066631590773
ENSMUSG00000002844	Adprh	2.61030618651836
ENSMUSG00000002845	Tmem39a	-3.02066136380188
ENSMUSG00000002846	Timmdc1	2.34012220273931
ENSMUSG00000002847	Pla1a	5.59211868441827
ENSMUSG00000002870	Mcm2	2.0654260282874
ENSMUSG00000002871	Tpra1	-1.59964469378238
ENSMUSG00000002881	Nab1	0.810645835066245
ENSMUSG00000002885	Adgre5	1.16357218790054
ENSMUSG00000002897	Il17ra	-5.80469878018512
ENSMUSG00000002900	Lamb1	4.75612864702504
ENSMUSG00000002908	Kcnn1	-1.54494352043915
ENSMUSG00000002910	Arrdc2	-0.821877292107605
ENSMUSG00000002944	Cd36	2.38498807149501
ENSMUSG00000002948	Map2k7	-3.85614576328498
ENSMUSG00000002949	Timm44	-1.00407434825657
ENSMUSG00000002957	Ap2a2	5.03183372890807
ENSMUSG00000002963	Pnkp	-0.328276847111096
ENSMUSG00000002968	Med25	3.14438177437102
ENSMUSG00000002980	Bcam	6.80948593147953
ENSMUSG00000002981	Clptm1	4.58488161077104
ENSMUSG00000002983	Relb	-3.42366030806336
ENSMUSG00000002984	Tomm40	2.68993282150228
ENSMUSG00000002985	Apoe	1.93710705868737
ENSMUSG00000002992	Apoc2	2.77128903900089
ENSMUSG00000002996	Hbp1	-4.14070464817148
ENSMUSG00000002997	Prkar2b	1.78694662575698
ENSMUSG00000003031	Cdkn1b	-5.51633748141576
ENSMUSG00000003032	Klf4	-7.44540119778987
ENSMUSG00000003033	Ap1m1	2.52371718864617
ENSMUSG00000003037	Rab8a	1.25348423690933
ENSMUSG00000003038	Hmgn2	4.06387034572615
ENSMUSG00000003039	Fam32a	0.428200217053542
ENSMUSG00000003051	Elf3	-5.58634336261836
ENSMUSG00000003062	Stard3nl	3.57778815461867
ENSMUSG00000003068	Stk11	-0.165214919241201
ENSMUSG00000003070	Efna2	-2.96317353966255
ENSMUSG00000003072	Atp5d	6.52210882005181
ENSMUSG00000003099	Ppp5c	2.23691968940173
ENSMUSG00000003119	Cdk12	-4.65347513371893
ENSMUSG00000003123	Lipe	-2.34269166976144
ENSMUSG00000003131	Pafah1b2	-2.6740431764955
ENSMUSG00000003134	Tbc1d8	1.87069459083855
ENSMUSG00000003135	Cnot11	-2.69639675645695
ENSMUSG00000003153	Slc2a3	2.81251891419536
ENSMUSG00000003154	Foxj2	-3.83061634085447
ENSMUSG00000003161	Sri	5.49734718440968
ENSMUSG00000003166	Dgcr2	-0.39995079538544
ENSMUSG00000003184	Irf3	-2.10078044886607
ENSMUSG00000003190	Bcl2l12	0.778537984967896
ENSMUSG00000003198	Zfp959	-7.30438182506473
ENSMUSG00000003199	Mpnd	6.58004006410096
ENSMUSG00000003200	Sh3gl1	-0.864132515534441
ENSMUSG00000003206	Ebi3	2.18582953860647
ENSMUSG00000003208	Yju2	-5.08774385874334
ENSMUSG00000003226	Ranbp2	-2.23969261886668
ENSMUSG00000003228	Grk5	0.483070201647648
ENSMUSG00000003233	Dvl3	-0.439899888245434
ENSMUSG00000003234	Abcf3	-0.512346011740675
ENSMUSG00000003235	Eif2b5	4.91780432123875
ENSMUSG00000003269	Cyth2	-2.64800999479701
ENSMUSG00000003271	Sult2b1	0.179532424614805
ENSMUSG00000003273	Car11	2.42185966368775
ENSMUSG00000003279	Dlgap1	-1.89420089667214
ENSMUSG00000003282	Plag1	-1.20533972752779
ENSMUSG00000003283	Hck	5.71231242204687
ENSMUSG00000003299	Mrpl4	4.67549294360549
ENSMUSG00000003308	Keap1	-1.58051792651637
ENSMUSG00000003309	Ap1m2	5.16873669829782
ENSMUSG00000003316	Glg1	4.42964196100263
ENSMUSG00000003341	Atp8b3	-2.29021355730602
ENSMUSG00000003344	Btbd2	3.90631237033043
ENSMUSG00000003345	Csnk1g2	2.17690776888225
ENSMUSG00000003346	Abhd17a	0.973344015934497
ENSMUSG00000003348	Mob3a	-3.03952605060243
ENSMUSG00000003352	Cacnb3	3.52635844402623
ENSMUSG00000003354	Ccdc65	-0.662502702542474
ENSMUSG00000003355	Fkbp11	2.79261958644547
ENSMUSG00000003360	Ddx23	1.936781981737
ENSMUSG00000003363	Pld3	8.04031643111385
ENSMUSG00000003378	Grik5	5.46605587099869
ENSMUSG00000003380	Rabac1	6.46586742642768
ENSMUSG00000003382	Etv3	-7.88882820258896
ENSMUSG00000003402	Prkcsh	5.31334842573577
ENSMUSG00000003410	Elavl3	1.41197714614481
ENSMUSG00000003411	Rab3b	4.63425644417132
ENSMUSG00000003418	St8sia6	-2.45798715531632
ENSMUSG00000003420	Fcgrt	7.18057278731126
ENSMUSG00000003421	Nosip	1.56663705324913
ENSMUSG00000003423	Pih1d1	4.52518694838324
ENSMUSG00000003429	Rps11	6.81408001431699
ENSMUSG00000003435	Supt5	2.21810532376135
ENSMUSG00000003436	Dll3	1.54428667680977
ENSMUSG00000003437	Paf1	-0.86129029184722
ENSMUSG00000003438	Timm50	2.253384199014
